rank|spec|name|avance|prioridad|estado|estado_manual|estado_real|descripcion|por_que_ahora|por_que_no_ahora|beneficio|peligros|estimado|se_cruza_con|notes
14|SPEC-181|PostHog Reverse Proxy|11/11|P1|done|done|Completada y archivada 2026-06-04 (PR #1421); entry del indice borrada por stale-base edit, restaurada 2026-06-15|Worker Cloudflare proxeando /ingest/* para esquivar ad-blockers|Cierre barato y de alto retorno; analytics confiable contra ad-blockers|Las 2 tasks restantes son acciones manuales tuyas (deploy CF Worker + env Coolify)|Recupera 25-35% de eventos perdidos por ad-blockers|Coupling critico: cambiar CSP/PUBLIC_POSTHOG_HOST debe ser atomico con el Worker ya vivo, o se rompe la ingesta|0.5-1 dia|SPEC-142 (CSP), SPEC-140|-
15|SPEC-102|Admin API Bearer Token Auth|-|P1|backlog|backlog|Draft, sin tasks|Autenticacion por bearer token para el admin|Endurecer auth del admin antes de exponerlo a internet|Puede esperar a que 182 defina el modelo de auth unificado|Tokens bearer para el admin, menos superficie de sesion|Cambiar el esquema de auth admin sin coordinar con 182 duplica trabajo|4-6 dias|SPEC-182 (auth), SPEC-129|-
16|SPEC-148|Billing grace + plan lifecycle|-|P1|done|done|Draft; depende de 143|Grace por cron-lag + disable de plan|Robustez de cobro: grace por cron-lag + disable de plan|Depende de 143; menos urgente que el gate (145)|Evita cortar acceso por demoras de cron; permite deshabilitar planes|Grace mal calibrado regala acceso impago; disable mal hecho rompe suscripciones activas|5-7 dias|SPEC-143, SPEC-145, SPEC-147|-
17|SPEC-192|Billing Catalog to DB|37/37|P1|done|done|Completada y archivada; cierra SPEC-168; shipped (PRs merged)|Addon catalog y lecturas de plan/promo DB-backed; cierra SPEC-168|Cierra SPEC-168: catalogo de addons/planes editable sin deploy|Falta atomizar; refactor high|Catalogo DB-backed, ops sin redeploy|Migrar lecturas hardcoded a DB puede divergir precios entre codigo y datos|1-2 semanas|SPEC-168, SPEC-122, SPEC-150|-
18|SPEC-122|Production-Ready Billing (epic)|-|P1|blocked|blocked|Draft (epic); depende de 109|Master plan de billing produccion (hijos 123-128)|Plan maestro que ordena el resto del billing de prod|Es paraguas; el valor sale de los hijos (123-128), no del epic en si|Hoja de ruta unica de billing produccion|Como epic, riesgo de scope-creep si no se acota a los hijos reales|Variable (es epic)|SPEC-127, SPEC-128, SPEC-145..150, SPEC-192|-
19|SPEC-150|Billing multi-currency|-|P1|blocked|blocked|Draft; depende de 143|Locale por cliente, precios multi-moneda, fallback FX|Precios/FX por moneda si cobras fuera de ARS|Si la beta es solo ARS, baja a P2/P3|Soporte multi-moneda con fallback FX|Cambia schema (billing_customers/plans); errores de FX cobran montos equivocados|1-2 semanas|SPEC-143, SPEC-028, SPEC-192|-
20|SPEC-121|E2E MP Secrets + Nightly|-|P1|blocked|blocked|Draft; depende de 103|Bootstrap de secrets MP + reactivar suite nightly|Reactivar la suite que valida el flujo de pago real contra MP sandbox|Depende de SPEC-103 (branch protection / plan upgrade)|Red de seguridad automatizada sobre el checkout|Si los secrets MP se filtran en CI, exposicion de credenciales de pago|2-3 dias|SPEC-103, SPEC-105, SPEC-143|-
21|SPEC-105|E2E Nightly Suite Repair|-|P1|backlog|backlog|Draft, sin tasks, complexity high|Reparar la suite nightly E2E|Red de seguridad E2E antes del launch|Suite E2E es fragil y cara de mantener; alto esfuerzo|Deteccion automatica de regresiones criticas|Tests flaky generan falsa confianza o ruido que se ignora|1-2 semanas|SPEC-121, SPEC-188|-
22|SPEC-127|Migrate addon.checkout a qzpay|-|P2|done|done|Draft (Fase E de 122); repo legacy|Migrar addon.checkout al path qzpay (Fase E del epic 122)|Limpieza de la ruta de checkout hacia qzpay|Vive en repo legacy hospeda; depende de SPEC-125|Unifica el checkout en el path qzpay|Tocar checkout legacy puede romper cobros en produccion vieja|2-3 dias|SPEC-122, SPEC-125, SPEC-128|-
23|SPEC-128|Billing cleanup + E2E + runbook|-|P2|done|done|Draft (Fase F+G de 122)|Limpieza billing + smoke E2E + runbook de ops (Fase F+G)|Runbook de ops billing + smoke final antes de go-live|Depende de 126+127; es cierre, va al final|Documentacion operativa + smoke de cierre|Sin esto, ops billing queda como conocimiento tacito (bus factor)|3-5 dias|SPEC-122, SPEC-126, SPEC-127|-
24|SPEC-185|Admin Entity Lists v2|0/17|P2|done|done|Empezada, atomizada, sin ejecutar|Filtros, grid cards, host portfolio y migracion de tags|Admin usable para operar contenido dia a dia|Ninguna fuerte; lista para ejecutar|Admin mas usable para operar contenido|Migracion de tags puede romper datos existentes si no es idempotente|1-2 semanas|SPEC-155, SPEC-190 (bundle admin)|-
25|SPEC-183|API Error i18n Standardization|0/14|P2|backlog|backlog|Empezada, atomizada, sin ejecutar|Centraliza translateApiError en @repo/i18n (es/en/pt)|Errores legibles y traducidos para el usuario final|Zero breaking, no bloquea; puede ir en paralelo|Mensajes de error consistentes y traducidos|Bajo: shim preserva callers; riesgo solo de strings faltantes|4-6 dias|SPEC-184, SPEC-149, SPEC-180|-
26|SPEC-162|Admin Audit & Security Log Query|-|P2|backlog|backlog|Draft; habilita 155|Store consultable de audit/security logs + endpoints admin|Trazabilidad de acciones admin (compliance)|Necesita store nuevo + endpoints; esfuerzo medio-alto|Audit/security logs consultables desde el admin|Loggear acciones sensibles mal scopeado expone datos a roles equivocados|1-2 semanas|SPEC-155, SPEC-163, SPEC-184|-
27|SPEC-166|Review Moderation State|27/27|P2|done|done|Completada y archivada; extraida de 155; shipped (PRs merged)|moderationState en reviews (alojamiento/destino)|Moderar reviews antes de abrirlas al publico|Solo importa cuando habilites reviews publicas|Estado de moderacion en reviews (no solo lifecycle)|Cambio de schema en reviews; flujo de moderacion mal hecho publica spam|4-6 dias|SPEC-155, SPEC-187 (rich text)|-
28|SPEC-159|Cross-Entity View Tracking|15/15|P2|done|done|Completada y archivada 2026-06-05 (PR #1461); habilitaba SPEC-155|Tracking de vistas DB-backed para dashboards|Metricas de vistas DB-backed para dashboards|Backend pesado; PostHog ya cubre client-side parcialmente|Vistas reales de accommodation/post/event en dashboards|Tracking server-side mal hecho infla DB y degrada performance|1-2 semanas|SPEC-155, SPEC-160, SPEC-181|-
29|SPEC-187|Rich Text Entity Descriptions|25/25|P2|done|done|Completada y archivada 2026-06-08; shipped via PRs #1488/#1489/#1498/#1500/#1501 + prod-readiness #1505; specs/index drift (quedo en draft) corregido 2026-06-15|Toolbars por entidad + ratificar formato canonico + render hardenizado|Calidad de contenido publico (descripciones ricas)|Falta atomizar; high complexity; ratificar formato canonico|Descripciones ricas y render seguro|Cambiar formato de descripcion sin migracion rompe contenido existente|1-2 semanas|SPEC-166, SPEC-186, SPEC-104 (migracion)|-
30|SPEC-186|Web Dynamic Image Grid|18/18|P2|done|done|Completada y archivada; shipped (PR merged)|Galeria count-aware, celdas ratio fijo, imagenes responsive|Galerias presentables en paginas de detalle|Falta atomizar; puramente UX|Galerias presentables en el detalle|Bajo; aislado al front web|2-4 dias|SPEC-187, SPEC-191|-
31|SPEC-191|Web Contribution Pages & Banners|0/0|P2|done|done|Draft; branch creado, sin atomizar|Hub /colaborar, link de reporte, banners de reclutamiento|Hub /colaborar + reclutamiento de colaboradores|Falta atomizar; no bloquea cobro ni auth|Capta colaboradores y reportes desde el sitio|Bajo; nuevas paginas estaticas|2-4 dias|SPEC-186|-
32|SPEC-144|Admin design-token contrast|-|P2|backlog|backlog|Draft, sin tasks|Remediacion de contraste WCAG AA en tokens de diseno admin|Accesibilidad WCAG AA del admin|Cosmetic-ish; no bloquea funcionalidad|Cumple contraste WCAG en tokens de diseno admin|Tocar tokens globales puede alterar la UI en lugares no previstos|2-4 dias|SPEC-134, SPEC-185, SPEC-190|-
33|SPEC-197|Admin View-Stats Surfaces|21/21|P2|done|done|Completada y archivada; consume datos de SPEC-159; shipped (PRs merged)|6 superficies admin para datos de vistas de 159: widgets dashboard, chips detalle, columna listas, pagina /analytics/views|SPEC-159 ya esta en staging: los datos existen, solo falta consumirlos; deferredSlots esperando en dashboards.ts|Complejidad alta (~21 tareas); requiere atomizar; el locked-state de HOST depende de entitlements (145)|Hosts ven alcance de sus listings, editores ven que contenido atrae, admins tienen analytics sin infra nueva|Test de card-count de 155 falla si no se actualiza; COUNT(DISTINCT) sin filtro escanea entity_views entera al escalar; columna vistas en listas puede degradar percepcion de velocidad|8-12 dias|SPEC-159 (datos), SPEC-155 (dashboards), SPEC-145 (entitlement VIEW_BASIC_STATS)|-
34|SPEC-195|Content Auto-Moderation Engine|-|P2|done|done|index staging: status=completed archived=True|Motor real de moderacion (OpenAI Moderation + word-lists en DB) reemplazando el stub, contrato de 166 congelado|166 ya mergeo: los consumidores reciben scores falsos (0/1 hardcoded); contenido inapropiado pasa sin revision|8 decisiones abiertas (proveedor, privacidad, thresholds, fallback, backfill); no se puede implementar sin cerrarlas|Moderacion funcional: APPROVED/PENDING/REJECTED reales, listas negras editables sin redeploy|Enviar texto de usuarios a APIs externas = riesgo privacidad/legal; fallback fail-open deja pasar contenido malicioso en outage del proveedor|3-5 dias|SPEC-166 (contrato congelado), SPEC-145 (permisos admin)|-
35|SPEC-160|Newsletter Engagement Tracking|-|P3|backlog|backlog|Draft; backend ya en SPEC-101, queda widget|Widget EDITOR de open/click rate (backend ya shippeo)|Bajo costo: el backend ya shippeo, falta solo el widget EDITOR|No bloquea nada; metrica secundaria|Open/click rate visible en dashboard EDITOR|Muy bajo; solo frontend|1-2 dias|SPEC-101, SPEC-155, SPEC-159|-
36|SPEC-188|Vitest Test-Suite Performance|9/21|P3|done|done|Completada y archivada 2026-06-04; Track A mergeado (PR #1427); 12 tasks cancelled (dead-ends); B2 (9%) extraido a SPEC-238|Bajar overhead por archivo de vitest sin saturar la maquina|CI mas rapido = iteras mejor|No bloquea prod; es DX|Menos overhead por archivo sin saturar la maquina|Tuning de concurrencia mal hecho satura la maquina o flakea tests|3-5 dias|SPEC-105, SPEC-179|-
37|SPEC-179|Self-Hosted Runner PR CI|-|P3|backlog|backlog|Approved, sin arrancar|Runner propio para PR CI (baja costo/quota de GH Actions)|Baja costo/quota de GitHub Actions|Ahorro de costos, no bloqueo de launch|CI mas barato y sin limites de quota|Runner self-hosted mal asegurado es vector de ataque al repo|3-5 dias|SPEC-188, SPEC-105|-
38|SPEC-131|PlanPurchaseButton async tests|0/6|P3|done|done|Draft atomizado, sin tocar|Reparar tests del boton de compra rotos post Astro 6|Tests rotos post Astro 6; deuda de test|No bloquea features; solo tests|Recupera cobertura del boton de compra|Bajo; aislado a tests web|1-2 dias|SPEC-111, SPEC-132, SPEC-133|-
39|SPEC-189|Optimize Seed & App Builds|12/12|P3|done|done|Completada y archivada; shipped (PR merged)|Seed desde src (sin build) + desacoplar @repo/schemas de @repo/feedback|Builds mas rapidos (seed desde src, desacoplar schemas)|Falta atomizar; DX, no prod|Acelera seed y builds, desacopla paquetes|Desacoplar paquetes puede romper imports transitivos|3-5 dias|SPEC-190|-
40|SPEC-190|Admin Bundle Perf|14/14|P3|done|done|Completada y archivada 2026-06-15 (PR #1559 code-split, -551 KB); T-014 browser smoke verificado: 3 campos lazy (tiptap/leaflet/upload) renderizan OK, 0 errores de chunk|Tree-shaking de iconos + code-split por entidad en admin|Bundle admin mas liviano (tree-shaking iconos + code-split)|Falta atomizar; perf, no bloqueo|Menor tamano de bundle, carga admin mas rapida|Code-split mal hecho rompe rutas/lazy en admin|4-6 dias|SPEC-185, SPEC-189, SPEC-144|-
41|SPEC-100|API Transform Pipeline Type Safety|-|P3|backlog|backlog|Draft, sin tasks, complexity high|Type-safety end-to-end del pipeline de transform (diferido de 099)|Deuda de tipos diferida de SPEC-099|Refactor grande sin urgencia funcional|Type-safety end-to-end en el pipeline de transform|Refactor high-risk sin payoff inmediato visible|1-2 semanas|SPEC-099, SPEC-132|-
42|SPEC-132|Zod 4 cross-package migration|0/6|P3|backlog|backlog|Draft atomizado, sin tocar|Migrar shared packages a validators top-level de Zod 4|Migracion a validators top-level de Zod 4|No urgente; deuda de mantenimiento|Alinea schemas a Zod 4 (validators de formato)|Cambios de validacion sutiles pueden alterar que pasa/falla|3-5 dias|SPEC-111, SPEC-131, SPEC-100|-
43|SPEC-133|Evaluate astro:env|0/5|P3|backlog|backlog|Draft atomizado (evaluacion)|Evaluar migrar web del Zod env layer a astro:env|Solo evaluacion, sin commitment de implementacion|Es spike; resultado puede ser 'no migrar'|Decision informada sobre el env layer de web|Ninguno real (es analisis)|1-2 dias|SPEC-111, SPEC-132|-
44|SPEC-045|Vite 7 Migration (TanStack)|-|P3|backlog|backlog|Draft, sin tasks|Migracion del admin a Vite 7|Upgrade de tooling del admin|No urgente salvo que lo exija otra dep|Mantiene el stack al dia|Bump mayor de Vite puede romper el build del admin|3-5 dias|SPEC-129, SPEC-190|-
45|SPEC-196|Shared Config-as-Code Package|-|P3|backlog|backlog|Draft exploratorio; requiere workshop D-1..D-6 con owner|Centraliza config curable (whats-new, tours, billing catalog) en un package @repo/content unico|Ninguna fuerte: es DX y descubribilidad, no producto|El owner dijo explicitamente analizarlo cuando toque; decision D-3 (billing files) cruza con 192/193|Un solo lugar para editar contenido curatorial; elimina tribal knowledge|Mover archivos rompe imports en tests/apps; build-before-dev trap si el modo de consumo se elige mal|2-2.5 dias|SPEC-175, SPEC-174, SPEC-192, SPEC-154|-
46|SPEC-173|AI Foundation (@repo/ai-core)|43/43|P4|done|done|Completada y archivada 2026-06-05 (PR #1466/#1467); base de 198/199/200/211/212; tasks/index entry faltante reconstruida 2026-06-15|Infra AI provider-agnostic (metering, safety, secrets vault)|Feature nueva; no bloquea el launch|7 preguntas abiertas sin resolver; scope grande|Base reusable para features de IA|Costos de IA descontrolados; superficie de seguridad nueva (prompt injection, PII)|3-4 semanas|Sus 4 child specs de features AI|-
47|SPEC-174|Admin Welcome Tour|-|P4|backlog|backlog|Draft; branch creado, sin atomizar|Tour guiado por rol, config-driven|Onboarding admin; post-launch|Depende de modelo de permisos/persistencia de 182/169|Mejor onboarding del admin|driver.js es excepcion de dep-policy; persistencia mal hecha pierde estado|1-2 semanas|SPEC-182, SPEC-169, SPEC-154, SPEC-175|-
48|SPEC-175|Admin What's New / Release Notes|-|P4|backlog|backlog|Draft; worktree creado, sin atomizar|Release notes curado in-repo para el admin|Comunicacion de releases; post-launch|No bloquea nada; comparte namespace JSONB con 174|Difunde novedades a usuarios del admin|Bajo; comparte patron de merge con 174 (coordinar)|1 semana|SPEC-174, SPEC-154|-
49|SPEC-163|Sentry Error Metrics Integration|-|P4|backlog|backlog|Draft (backlog); habilita 155|Widget 'errores 24h' del dashboard super-admin|Sentry es write-only en el stack; integracion externa de bajo retorno|Bajo retorno; el dashboard sale igual sin esto|Metrica de errores en el dashboard super-admin|Depender de la API de Sentry agrega un punto de fallo externo|3-5 dias|SPEC-155, SPEC-162, SPEC-180|-
50|SPEC-198|AI Text Improvement for HOST Listings|done|P4|done|done|Completada; shipped via 2 PRs merged (ya en staging); drift pendiente: sin entry en tasks/index y spec.md frontmatter aun en draft|Boton Improve-with-AI en campos de texto del form de alojamientos, streaming con accept/reject|La foundation (173) ya esta en el branch: factory, quota, rate-limit listos; primer feature que la consume|9 preguntas abiertas (campos, placement, mobile, historial); branch 173 sin mergear; depende de 145 para quota real|Mejora calidad de copy de listings; valor inmediato para planes owner/complex|SSE con problemas de reconexion; sobreescritura accidental del texto original; manejo de MODERATION_BLOCKED 422 en el front|4-6 dias|SPEC-173 (parent), SPEC-154, SPEC-168, SPEC-145|-
51|SPEC-199|AI Natural-Language Search|21/21|P4|done|done|Completada y archivada; shipped via 2 PRs merged; spec.md frontmatter aun en draft (drift menor)|Busqueda en lenguaje natural: extractIntent -> filtros estructurados de accommodation search|Foundation lista; capa de traduccion sobre la busqueda existente, sin vector DB|Tension central sin resolver: 173 prohibe AI anonimo pero el search box actual es publico; branch sin mergear|Menos friccion de busqueda; diferenciador en mobile|Intent extraction puede producir filtros incorrectos (precio/ubicacion mal interpretados); resolucion de UUIDs desde texto libre sin resolver|4-6 dias|SPEC-173 (parent), SPEC-145, SPEC-168|-
52|SPEC-200|AI Accommodation Chat (tourist)|11/12|P4|done|done|Completada y archivada; shipped via 6 PRs merged; task 12 (metering) diferida a SPEC-211 (no es trabajo faltante); spec.md frontmatter aun in-progress (drift)|Widget de chat en detalle de alojamiento para turistas logueados, contexto estructurado + SSE|Tablas ai_conversations/ai_messages ya definidas en 173; feature de mayor superficie para turistas|Placement del widget, multi-turn, disponibilidad en contexto y visibilidad del host sin decidir; el mas complejo de los 4 AI|Engagement en detalle; menos preguntas repetitivas al host; respuestas grounded en datos estructurados|Context assembly desactualizado = respuestas erroneas; multi-turn puede exceder tokens silenciosamente; moderation post-stream corta respuestas a mitad|6-9 dias|SPEC-173 (parent), SPEC-145, SPEC-143, SPEC-168|-
53|SPEC-201|AI Support Assistant|-|P4|backlog|backlog|Draft; sin tasks; 0 PRs; foundation (173) lista pero feature sin empezar; bloqueador de producto: audiencia (admin vs end-user) sin decidir|Asistente que responde preguntas sobre Hospeda inyectando docs como contexto (RAG estatico)|Foundation lista; corpus tecnico existe si la audiencia es interna|Bloqueador de producto: audiencia (admin vs end-user) sin decidir; si es end-user el corpus de ayuda NO existe hoy|Reduce soporte repetitivo|Alucinaciones fuera de corpus; sin escalacion humana los usuarios quedan atrapados en el bot; riesgo reputacional si miente sobre precios/politicas|3-5 dias (admin) / 7-9 dias (end-user, corpus incluido)|SPEC-173 (parent), SPEC-145, SPEC-143, SPEC-168|-
54|SPEC-202|Destination Review Submission Flow (web) + API contract/security fix|-|-|done|done|index staging: status=completed archived=True|Formulario web para que usuarios autenticados envien resenas de destinos, mas fix de impersonacion en el endpoint y unique index (un usuario, un destino).|Ya hecha — el backend estaba completo pero sin UI; la vulnerabilidad de impersonacion era un agujero de seguridad activo.|Ya hecha.|Usuarios pueden calificar destinos; el API no acepta userId en el body y no permite duplicados.|Bajo — ya entregada y con smoke aprobado.|Hecha|SPEC-166 (moderacion), SPEC-145 (entitlement WRITE_REVIEWS), SPEC-213 (batch polish)|-
55|SPEC-203|Self-serve plan management UI (web)|-|-|backlog|backlog|index staging: status=draft archived=None|Pagina web self-serve de gestion de suscripcion para hosts: ver plan actual, cambiar plan (con preview de restricciones), cancelar.|Sin esta pagina los hosts no pueden gestionar su suscripcion desde la web; el billing go-live (SPEC-193) queda incompleto para el usuario final.|Depende de que SPEC-167 (downgrade/preview) y SPEC-147 (cancel API) esten en staging y estables; sin esas APIs no hay que construir.|Hosts pueden cambiar o cancelar su plan sin pasar por el admin; reduce carga de soporte.|Si el preview de restricciones de SPEC-167 cambia de forma, rompe el UI de confirmacion; requiere coordinacion de contrato.|1-2 semanas|SPEC-167 (downgrade preview), SPEC-147 (cancel API), SPEC-145 (entitlements), SPEC-193 (master billing)|-
56|SPEC-204|Accommodation gallery migration to relational table|-|-|backlog|backlog|index staging: status=draft archived=None|Migrar las fotos de alojamiento de columna JSONB a tabla relacional accommodation_media con estado por foto, orden y metadatos.|No es urgente — el JSONB con archivedGallery (SPEC-167) es funcional en el interim. Dejar para post go-live.|Explicitamente marcado post go-live; alto blast radius (schemas, modelos, servicios, consumers web/admin, seed); no bloquea nada en produccion hoy.|Modelo de datos correcto: estado por foto, ordenamiento como dato, integridad referencial, conteo eficiente para limite MAX_PHOTOS.|Migracion dual-write compleja sobre tabla con datos reales; riesgo de perder fotos si el backfill falla; requiere ventana de transicion larga.|2-3 semanas|SPEC-167 (archivedGallery interim), SPEC-186 (image grid), SPEC-208 (accommodation editor), SPEC-193 (go-live)|-
57|SPEC-205|Host Web Foundation — Dashboard, Navigation, Promotions & Funnel|-|-|done|done|index staging: status=completed archived=True|Foundation web para hosts: dashboard, navegacion, CRUD de promociones propias y mejoras al funnel de onboarding (4 fases, epica).|Ya hecha — completada en PR #1542 (fases 1/2/4) y PR #1591 (fase 3 CRUD de promociones).|Ya hecha.|Hosts tienen dashboard operativo, navegacion de cuenta y pueden gestionar sus propias promociones desde la web.|Bajo — archivada. Nota: el endpoint GET /protected/owner-promotions fue un cabo suelto que la fase 3 tuvo que agregar.|Hecha|SPEC-206 (conversaciones), SPEC-207 (analytics host), SPEC-208 (editor alojamiento), SPEC-145 (entitlements)|-
58|SPEC-206|Host Conversations — Inbox, Threads, Replies & Archive in Web|1/1|-|done|done|Completada (ghost, como SPEC-208) y archivada 2026-06-15; scope full shipeado: inbox/threads/replies/archive owner (PRs #1503/#1521/#1627/#1610, en main); sin spec.md formal|Bandeja de entrada de conversaciones para hosts en la web: inbox, hilos, respuestas y archivo.|Fase 2 del area de host en web; los hosts necesitan responder consultas desde la plataforma para que tenga valor retenerlos.|Depende de SPEC-205 (foundation) ya shippeada; sin embargo es un epica de alta complejidad y no hay spec.md todavia — requiere formalizacion antes de atomizar.|Hosts pueden manejar toda la comunicacion con turistas desde la web sin salir de la plataforma.|Sin spec.md formal el scope no esta acotado; riesgo de scope creep en el modelo de permisos de conversaciones; endpoints protegidos de conversaciones pueden no existir aun.|2-4 semanas|SPEC-205 (foundation, depende), SPEC-207 (analytics), SPEC-145 (entitlements)|-
